content,label
"Unbelievably good news.  https://t.co/W6KQJ1eTnY","Real"
"A vaccine for Alzheimer’s may be on the way! https://t.co/G49h4TSL7C","Real"
"#Fascinating #Science on the trials of the #Alzheimer #vaccine which could cut occurrences in half https://t.co/ZM481ztNiq","Real"
"This could be incredible. #innovation Alzheimer's vaccine aims to cut dementia in half, may see human trials https://t.co/FMEnuB35Yi","Real"
""The vaccine works by prompting the body to produce antibodies inhibiting the buildup of amyloid and tau, two proteins that are hallmarks of the degenerative brain disease." #alzheimers #dementia #vaccine https://t.co/55tuay0KWW","Real"
"https://t.co/lMNXvjtS3d","Real"
"An experimental vaccine that could hold off Alzheimer's disease is showing results in animal testing, according to researchers at the University... https://t.co/JjCzYYr73C","Real"
"What may be this day's most impacting (and hopeful) news...  https://t.co/ymAk8iYozf  #Alzheimers #Dementia #seniors","Real"
"Please pray, if so inclined..... Researcher: Alzheimer's vaccine could cut dementia in half, human trials may be next  USA TODAY","Real"
"Sign. Me. Up. https://t.co/GS057hX93d","Real"
"@JK137 God dammit JK! You lied about the Alzheimer cure! https://t.co/Bv23WGe6aI","Real"
"https://t.co/0U40CXSMxz","Real"
"I hope this works https://t.co/h8FhUvXIdr","Real"
"This could be a game changer. https://t.co/gPKCIah55J","Real"
"https://t.co/28COyJQGzA","Real"
"Alzheimer's vaccine works by prompting the body to produce antibodies inhibiting the buildup of amyloid and tau, two proteins. https://t.co/d4aAkCI7ok","Real"
"Why are we developing #vaccines for #noninfectious diseases? Researcher: Alzheimer's vaccine could cut dementia in half, human trials may be next - USA TODAY https://t.co/yuvl7jpMq5 via @GoogleNews","Real"
"Alzheimer -rokote melko tehokas eläinkokeissa ja saattaa edetä ihmiskokeisiin. Tutkijan arvion mukaan saattaisi puolittaa tapausten määrän. https://t.co/nOAtZ7HV4T","Real"
"This vaccine halts #Alzheimers in animal testing and may progress to human trials https://t.co/HUu3wmU6hY","Real"
"Un vaccin réduirait de moitié la démence!  https://t.co/rzshpwVTs0 via @usatoday","Real"
"https://t.co/MKgQnPIZYM","Real"
"‘Testing in mice showed that the #vaccine safely prevents the buildup of substances in the brain associated with the fatal disease...’ #Alzheimers  https://t.co/pvq8vHwN7h","Real"
"#Researchers believe the #vaccine could extend lives by preventing the #disease from developing.  Researcher: Alzheimer's vaccine could cut dementia in half, human trials may be next https://t.co/6JXQ4GaRdh","Real"
"https://t.co/DlWr9lStz1","Real"
"Sherry Weber Blanchar https://t.co/Seqv1idwVu","Real"
"Will a targeted drug ever replace a low carb keto approach? https://t.co/vgZbdEXsD8","Fake"
"Cut Dementia diagnoses in half? An Alzheimer's vaccine? Read to find out more. How do you feel about this article? Hopeful? Skeptical?  Article: https://t.co/iVUJ1NQqeN Courtesy: USA Today https://t.co/Vt7IBF46mw","Real"
"https://t.co/fgw7c5HcUB","Real"
"This was just on the news! I pray this will be released soon!! Stephanie Angela https://t.co/mrqjFQsdY4","Real"
"Alzheimer's vaccine could cut dementia in half!  https://t.co/YXhMhNCpFR https://t.co/YXhMhNCpFR","Real"
"#psclinical https://t.co/dlYATDFpzF","Real"
"Now THIS would be a miracle. https://t.co/PSl5NBgX3g","Real"
